Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,Qwen/Qwen2.5-32B,1024,1048576,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,1024,1048576,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,1024,1048576,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,1024,1048576,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,2048,131072,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,2048,131072,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,2048,131072,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,2048,131072,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,2048,262144,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,2048,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,2048,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,2048,262144,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,2048,524288,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,2048,524288,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,2048,524288,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,2048,524288,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,2048,1048576,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,2048,1048576,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,2048,1048576,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,2048,1048576,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,4096,131072,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,4096,131072,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,4096,131072,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,4096,131072,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,4096,262144,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,4096,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,4096,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,4096,262144,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,4096,524288,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,4096,524288,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,4096,524288,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,4096,524288,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,4096,1048576,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,4096,1048576,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,4096,1048576,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,4096,1048576,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,8192,131072,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,8192,131072,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,8192,131072,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,8192,131072,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,8192,262144,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,8192,262144,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,8192,262144,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,8192,262144,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,8192,524288,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,8192,524288,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,8192,524288,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,8192,524288,8,262144,sonnet,1800,128,,5000
b200-8,Qwen/Qwen2.5-32B,8192,1048576,8,262144,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-32B,8192,1048576,8,262144,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-32B,8192,1048576,8,262144,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-32B,8192,1048576,8,262144,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,131072,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,131072,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,131072,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,131072,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,262144,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,262144,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,262144,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,262144,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,524288,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,524288,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,524288,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,524288,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,1048576,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,1048576,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,1048576,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,1048576,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,131072,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,131072,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,131072,8,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,131072,8,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,262144,8,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,262144,8,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,262144,8,2048,sonnet,1800,128,,3000
